0,NumPixels,Volume,DeltaX,DeltaY,CentroidX,CentroidY,MaxIntensity,MedianIntensity,Shape,Cluster
ART_00001-0,4781,451494,57,718,567.4139301401381,81.13605940179879,255,73.0,0,1
ART_00001-1,73,5643,4,26,573.6849315068494,222.67808219178082,102,75.0,1,2
ART_00001-2,2148,320212,10,239,570.7644320297952,76.45111731843576,255,130.0,0,0
ART_00001-3,161,40362,14,67,569.4968944099379,277.2391304347826,255,255.0,0,0
ART_00001-4,336,39118,56,56,511.4464285714288,375.27678571428567,165,121.0,2,3
ART_00002-0,272,35925,18,15,197.7352941176471,427.3823529411765,222,113.5,2,3
ART_00002-1,27,1862,3,11,327.5925925925926,355.38888888888886,74,69.0,2,4
ART_00002-2,23,1655,4,5,473.0869565217391,348.0652173913044,83,70.0,3,4
ART_00002-3,6615,471989,33,619,569.0314436885867,69.42018140589568,116,71.0,2,1
ART_00002-4,1888,168413,11,234,570.4560381355933,78.65466101694916,223,75.0,0,2
ART_00002-5,179,38444,1,178,574.977653631285,107.79050279329613,246,215.0,0,0
ART_00003-0,22,1709,12,11,522.5454545454545,363.8636363636364,100,75.0,2,4
ART_00003-1,58,9904,9,9,523.5862068965516,365.0862068965517,208,173.5,2,3
ART_00003-2,6657,479467,39,615,568.9490761604327,55.244329277452316,155,70.0,0,1
ART_00003-3,2120,281675,10,237,570.9080188679245,75.54858490566039,255,93.0,0,0
ART_00003-4,284,35384,23,35,535.6302816901408,345.3133802816901,222,97.0,3,3
ART_00003-5,253,37861,31,23,492.6798418972333,391.0849802371542,230,160.0,3,3
ART_00004-0,1144,84611,5,235,573.9816433566432,77.93444055944053,98,75.0,2,2
ART_00004-1,46,3053,0,69,575.0,205.41304347826087,70,66.0,3,2
ART_00005-0,1768,195751,47,366,562.3976244343892,244.33766968325799,193,101.0,3,1
ART_00005-1,249,20381,34,37,565.0281124497993,216.5,135,77.0,0,2
ART_00005-2,1241,128621,6,227,572.6261079774376,81.16962127316685,228,78.0,0,0
