,NumPixels,Volume,DeltaX,DeltaY,CentroidX,CentroidY,MaxIntensity,MedianIntensity,Shape
ART_00001-0,0.04732180013078889,0.06225200348647471,0.049522154648132054,0.8271889400921659,0.9850618001647321,0.18673431392819054,0.9999999999999999,0.0421052631578947,0
ART_00001-1,0.0006737609733864416,0.0006555445599679591,0.0034752389226759338,0.029953917050691243,0.9959722019099,0.5124927093021423,0.19047619047619047,0.05263157894736842,1
ART_00001-2,0.021233378911281534,0.04411476409306826,0.008688097306689834,0.27534562211981567,0.9908910640296951,0.17595193859248737,0.9999999999999999,0.34210526315789475,0
ART_00001-3,0.0015456869389453658,0.005452141309710334,0.012163336229365768,0.0771889400921659,0.9886857791236563,0.6380647420823535,0.9999999999999999,1,0
ART_00001-4,0.0032796306204545904,0.00528027672960493,0.04865334491746307,0.06451612903225806,0.887688527368243,0.8636980108499095,0.5238095238095238,0.29473684210526313,2
ART_00002-0,0.002645502645502646,0.00483914843034725,0.0156385751520417,0.01728110599078341,0.34188821436047734,0.9836187639612808,0.8253968253968252,0.2552631578947368,2
ART_00002-1,0.00021798149138973106,0.0001331812341009721,0.0026064291920069502,0.012672811059907835,0.567816293953107,0.817926096407109,0.042328042328042326,0.02105263157894738,2
ART_00002-2,0.00017834849295523451,0.00010458318901912433,0.0034752389226759338,0.00576036866359447,0.820950023209036,0.8010706959523691,0.08994708994708994,0.02631578947368418,3
ART_00002-3,0.06549352991300557,0.06508348625919194,0.028670721112076452,0.7131336405529954,0.9878759795293719,0.15977026790770005,0.26455026455026454,0.03157894736842104,2
ART_00002-4,0.018657234013039255,0.023143002521187075,0.009556907037358817,0.2695852534562212,0.9903545147475723,0.1810233855395838,0.8306878306878306,0.05263157894736842,0
ART_00002-5,0.0017240354319006004,0.0051871603895799765,0.0008688097306689834,0.20506912442396313,0.9982213032730936,0.24807940803980696,0.9523809523809522,0.7894736842105263,0
ART_00003-0,0.0001684402433466104,0.0001120435486056933,0.010425716768027801,0.012672811059907835,0.9069988137603795,0.8374306935871954,0.17989417989417988,0.05263157894736842,2
ART_00003-1,0.0005251372292570794,0.0012442221932711147,0.00781928757602085,0.010368663594470046,0.9088095335487651,0.8402444347446529,0.7513227513227513,0.5710526315789473,2
ART_00003-2,0.06590967639656779,0.06611660790712459,0.03388357949609035,0.7085253456221198,0.9877326750122197,0.12714460132900418,0.4708994708994708,0.02631578947368418,0
ART_00003-3,0.020955947922240058,0.038790692289594024,0.008688097306689834,0.2730414746543779,0.9911408790110193,0.1738747638795406,0.9999999999999999,0.14736842105263154,0
ART_00003-4,0.0027644016408061352,0.0047644066796744015,0.01998262380538662,0.04032258064516129,0.9297640329919413,0.7947373539279404,0.8253968253968252,0.16842105263157897,3
ART_00003-5,0.002457245902938787,0.005106616137006464,0.02693310165073849,0.026497695852534562,0.8550380800110029,0.9000805068749234,0.8677248677248676,0.49999999999999994,3
ART_00004-0,0.011285496304222896,0.011565353371674974,0.004344048653344917,0.2707373271889401,0.9964884265596006,0.17936580105740052,0.1693121693121693,0.05263157894736842,2
ART_00004-1,0.00040623823395358975,0.00029772360942696555,0,0.07949308755760369,0.9982601818900751,0.472757292239956,0.021164021164021163,0.005263157894736803,3
ART_00005-0,0.01746824406000436,0.026919878639291198,0.04083405734144222,0.4216589861751152,0.9763343406529507,0.5623421626772336,0.671957671957672,0.1894736842105263,3
ART_00005-1,0.0024176129045042904,0.0026916701078726546,0.029539530842745437,0.04262672811059908,0.9809109113401016,0.4982738780207135,0.365079365079365,0.06315789473684208,0
ART_00005-2,0.012246596516259436,0.017645546434728692,0.0052128583840139004,0.26152073732718895,0.9941300415582149,0.18681155643996974,0.8571428571428571,0.06842105263157894,0
ART_00005-3,0.00018825674256385864,0.00010085300922583985,0.0008688097306689834,0.04032258064516129,0.9994925530512719,0.10778672803989256,0.05291005291005291,0.010526315789473661,2
ART_00006-0,0.06693022610625607,0.06595317077025586,0.03301476976542137,0.7442396313364056,0.9873716486391001,0.14562954085836263,0.3015873015873015,0.02631578947368418,2
ART_00006-1,0.012791550244733765,0.015730582652702163,0.009556907037358817,0.26152073732718895,0.9924876372352318,0.17546243020926564,0.7248677248677248,0.0368421052631579,0
ART_00006-2,0.0017240354319006004,0.0049328173896008385,0.0008688097306689834,0.20622119815668202,0.9982407425815842,0.24577791206742491,0.8624338624338624,0.7526315789473685,0
ART_00007-0,0.014921823910587955,0.017844765666651514,0.008688097306689834,0.40898617511520735,0.9951743364005986,0.29980754863262044,0.6349206349206349,0.02631578947368418,3
ART_00007-1,0.016735033588966174,0.03223828609567193,0.0069504778453518675,0.2638248847926267,0.9925364473407178,0.1847025241731802,0.9999999999999999,0.26842105263157895,0
ART_00007-2,0.0010304579592969106,0.0016716731666200854,0.013900955690703735,0.018433179723502304,0.920016251845564,0.8228481540524277,0.5608465608465608,0.3210526315789473,3
ART_00008-0,0.006816875730733409,0.007379124559959669,0.0156385751520417,0.3836405529953917,0.9967689092244252,0.3492810731015565,0.40740740740740733,0.03157894736842104,0
